code,name,roe,net_profit,np_margin,gp_margin
sh.600389,sh.600389,4.4670000000000005,1.8552540844,9.5408,16.5259
sh.600872,sh.600872,4.4656,2.6400608464,19.9933,42.423899999999996
sh.600660,sh.600660,4.4631,17.12519932,16.445899999999998,37.3791
sz.001221,sz.001221,4.462,1.2852862583,18.2406,36.227199999999996
sh.600662,sh.600662,4.4597,2.6577330999,4.001799999999999,7.825699999999999
sz.002318,sz.002318,4.4524,3.965561212,19.5935,24.915100000000002
sz.300357,sz.300357,4.4505,1.1651263484999999,46.0814,95.2454
sz.300434,sz.300434,4.4452,1.1565103523,34.888200000000005,64.6842
sh.688213,sh.688213,4.4326,2.3674669909,11.2122,25.737
sz.002867,sz.002867,4.4264,2.9339049075,15.0152,39.4289
sh.603606,sh.603606,4.426200000000001,3.7154203226,12.8875,23.5643
sz.002240,sz.002240,4.423,5.284333488500001,16.0909,34.0651
sz.002588,sz.002588,4.4219,3.604455246,8.8779,17.3219
sh.603486,sh.603486,4.3902,4.047786658,8.257,49.5896
sz.301275,sz.301275,4.3896,1.8071579471,12.241299999999999,30.249399999999998
sz.002043,sz.002043,4.3862,1.4720234581,8.7309,16.178600000000003
sz.002407,sz.002407,4.3749,4.3163021582,13.423399999999999,27.608700000000002
sz.300037,sz.300037,4.3652999999999995,4.8512966651,14.433399999999999,24.2804
sz.000989,sz.000989,4.3479,2.0064664606,20.6164,60.592999999999996
sz.300866,sz.300866,4.3468,4.7092242451,6.1901,43.6401
sh.600563,sh.600563,4.3436,2.6773652503,20.843700000000002,31.650699999999997
sz.301603,sz.301603,4.3284,1.0397571325,14.338799999999999,30.6979
sh.600763,sh.600763,4.3183,2.2058013455000003,29.2047,43.874
sh.603027,sh.603027,4.3069999999999995,1.481435066,18.1201,40.8178
sz.000423,sz.000423,4.305,4.5477359684,25.067099999999996,75.5156
sh.605305,sh.605305,4.291799999999999,1.2865199601000001,29.338399999999996,50.4198
sh.603650,sh.603650,4.2859,1.8235400712,17.3874,22.211
sz.002568,sz.002568,4.2703999999999995,2.1643719829,27.0623,70.30999999999999
sz.000758,sz.000758,4.2542,2.8323830607,9.0746,15.9562
sz.002371,sz.002371,4.245,15.6795633489,15.1892,40.7728
